,mood,age,gender,school_type,grade_level,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
374,Lost,27,Male,Wirtschaft,6,1,With family,Full time,Introvert,Single,10:00:00 AM,10:30:00 AM,3:00:00 AM,9:00:00 AM,2:00:00 AM,Riding,Yes,Yes,No,3,Very Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,3,6 to 8,No,2,2,14,Moderate
375,Angry,25,Male,Naturwissenschaft,5,1,With family,None,Ambivert,In a relationship,11:00:00 AM,11:30:00 AM,2:30:00 PM,10:00:00 AM,1:00:00 AM,"Music, Traveling",Yes,Yes,No,0,Often,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,1,0 to 2,No,5,1,19,Moderate
376,Happy,22,Female,Naturwissenschaft,4,0,With family,None,Extrovert,Single,8:30:00 AM,9:30:00 AM,2:00:00 PM,11:00:00 AM,12:00:00 AM,Music,No,No,No,5,Very Often,Often,Regularly,Not at all,Sometimes,Not at all,Not at all,8,6 to 8,No,1,5,5,Moderate
377,Happy,25,Female,Wirtschaft,8,2,With family,Part time,Extrovert,In a relationship,10:00:00 AM,11:00:00 AM,2:00:00 PM,12:00:00 PM,2:00:00 AM,"Music, Photography, Traveling",No,No,No,5,Sometimes,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,2,more than 8,Yes,3,2,0,None
378,Happy,27,Male,Naturwissenschaft,1,3,With family,None,Introvert,Single,8:00:00 AM,10:00:00 AM,3:30:00 PM,1:00:00 PM,1:00:00 AM,Football,No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,1,6 to 8,No,0,1,3,None
379,Happy,24,Male,Naturwissenschaft,2,1,With family,None,Extrovert,Single,9:00:00 AM,9:15:00 AM,2:00:00 AM,2:00:00 PM,2:00:00 AM,"Playing football, watching football",Yes,No,No,0,Sometimes,Very Often,Regularly,Sometimes,Sometimes,Not at all,Sometimes,3,0 to 2,No,0,1,3,None
380,Lost,26,Male,Naturwissenschaft,6,1,With family,Full time,Ambivert,In a relationship,7:30:00 AM,7:45:00 AM,1:30:00 AM,3:00:00 PM,2:00:00 AM,"Photography, Traveling",Yes,No,No,5,Often,Very Often,Sometimes,Sometimes,Not at all,Not at all,Very Often,2,more than 8,No,1,4,19,Moderate
381,Happy,23,Male,Naturwissenschaft,5,2,With family,None,Extrovert,Engaged,8:00:00 AM,10:00:00 AM,2:30:00 PM,4:00:00 PM,1:00:00 AM,"Traveling, riding",No,No,No,10,Sometimes,Sometimes,Regularly,Not at all,Regularly,Not at all,Sometimes,0,3 to 5,Yes,1,1,9,Moderate
382,Lost,20,Female,Naturwissenschaft,2,3,With family,None,Ambivert,Single,10:00:00 AM,10:30:00 AM,2:00:00 AM,5:00:00 PM,3:00:00 AM,Crafting,No,No,No,10,Sometimes,Very Often,Regularly,Not at all,Sometimes,Not at all,Not at all,5,3 to 5,No,1,1,6,Moderate
383,Happy,20,Male,Naturwissenschaft,3,1,With family,Part time,Extrovert,Single,8:00:00 AM,9:30:00 AM,1:00:00 PM,6:00:00 PM,1:00:00 AM,Programming,No,No,No,7,Often,Not at all,Regularly,Sometimes,Not at all,Not at all,Very Often,4,3 to 5,No,2,3,11,Moderate
384,Sad,26,Male,Naturwissenschaft,4,1,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,3:00:00 AM,7:00:00 PM,2:30:00 AM,None,Yes,Yes,Yes,5,Very Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,3 to 5,No,2,1,6,Moderate
385,Tensed,22,Male,Naturwissenschaft,3,1,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,8:00:00 PM,2:00:00 AM,None,Yes,No,No,5,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Often,1,6 to 8,No,1,1,23,Severe
386,Tensed,22,Female,Naturwissenschaft,6,3,With family,None,Introvert,In a relationship,1:00:00 PM,1:30:00 PM,5:00:00 PM,9:00:00 PM,3:00:00 AM,other,No,No,No,2,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,2,more than 8,No,0,1,17,Moderate
387,Sad,22,Female,Naturwissenschaft,6,3,With family,None,Ambivert,Single,1:00:00 PM,2:00:00 PM,2:00:00 AM,10:00:00 PM,5:00:00 AM,None,No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,6 to 8,No,2,5,25,Severe
388,Angry,23,Female,Naturwissenschaft,4,1,With family,None,Introvert,In a relationship,9:30:00 AM,10:00:00 AM,2:00:00 PM,11:00:00 PM,12:00:00 AM,"Music, Photography, Painting",Yes,No,No,2,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,2,3 to 5,No,0,4,9,Moderate
389,Tensed,24,Female,Geisteswissenschaft,5,3,With family,None,Introvert,Single,8:00:00 AM,10:00:00 AM,2:00:00 PM,12:00:00 AM,2:00:00 AM,Reading books  ,No,Yes,No,1,Sometimes,Sometimes,Regularly,Not at all,Regularly,Regularly,Not at all,5,3 to 5,Yes,3,2,12,Moderate
390,Sad,20,Female,Naturwissenschaft,4,0,With family,None,Introvert,Single,12:00:00 AM,2:00:00 PM,5:00:00 PM,1:00:00 AM,4:00:00 AM,Photography,No,No,No,2,Not at all,Not at all,Regularly,Not at all,Sometimes,Not at all,Not at all,6,more than 8,No,0,2,7,Moderate
391,Angry,22,Male,Wirtschaft,4,3,With family,None,Ambivert,In a relationship,10:00:00 AM,11:00:00 AM,4:30:00 PM,2:00:00 AM,2:00:00 AM,"Music, Photography, Traveling",No,No,No,0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very Often,1,more than 8,Yes,0,0,11,Moderate
392,Happy,23,Male,Wirtschaft,2,2,With family,None,Extrovert,Single,10:30:00 AM,10:45:00 AM,3:00:00 AM,3:00:00 AM,2:00:00 AM,"Photography, Traveling",Yes,No,No,3,Very Often,Often,Sometimes,Not at all,Sometimes,Not at all,Very Often,2,3 to 5,No,3,5,17,Moderate
393,Tensed,21,Female,Naturwissenschaft,2,2,With family,None,Ambivert,Single,9:30:00 AM,12:00:00 PM,2:30:00 PM,4:00:00 AM,3:00:00 AM,"Music, Programming",No,No,No,2,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Sometimes,Sometimes,5,3 to 5,No,1,1,11,Moderate
394,Lost,22,Female,Naturwissenschaft,3,1,With family,Part time,Extrovert,Single,4:30:00 AM,12:00:00 PM,5:00:00 AM,5:00:00 AM,10:00:00 AM,None,No,No,No,0,Sometimes,Very Often,Regularly,Not at all,Sometimes,Not at all,Not at all,4,3 to 5,No,1,1,21,Severe
395,Tensed,23,Female,Naturwissenschaft,5,3,With family,None,Introvert,In a relationship,10:30:00 AM,11:00:00 AM,3:00:00 PM,7:00:00 AM,2:00:00 AM,"Music, Painting, Traveling",No,No,No,2,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Sometimes,1,6 to 8,No,1,1,11,Moderate
396,Happy,21,Male,Wirtschaft,2,2,With family,None,Introvert,Single,11:00:00 AM,12:30:00 PM,4:00:00 PM,8:00:00 AM,2:30:00 AM,"Photography, Traveling, Programming",No,No,No,4,Often,Sometimes,Regularly,Not at all,Sometimes,Not at all,Sometimes,3,0 to 2,No,0,0,7,Moderate
397,Sad,19,Female,Naturwissenschaft,3,1,With family,None,Ambivert,In a relationship,9:30:00 AM,10:00:00 AM,2:30:00 AM,9:00:00 AM,1:30:00 AM,Traveling,No,No,No,4,Sometimes,Very Often,Regularly,Not at all,Not at all,Not at all,Very Often,3,6 to 8,No,0,2,12,Moderate
398,Happy,25,Male,Naturwissenschaft,4,1,Without family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,10:00:00 AM,2:00:00 AM,"Photography, Traveling",Yes,No,No,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,2,3 to 5,No,2,1,5,Moderate
399,Lost,22,Female,Naturwissenschaft,3,2,With family,None,Introvert,Single,5:00:00 AM,9:00:00 AM,2:00:00 PM,11:00:00 AM,11:00:00 PM,Traveling,No,No,No,0,Very Often,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Not at all,5,3 to 5,No,0,0,7,Moderate
400,Happy,25,Male,Naturwissenschaft,1,2,With family,Full time,Ambivert,Single,8:30:00 AM,10:00:00 AM,3:00:00 PM,12:00:00 PM,1:30:00 AM,"Music, Sports",Yes,Yes,No,0,Sometimes,Often,Sometimes,Sometimes,Sometimes,Not at all,Very Often,0,more than 8,No,1,2,17,Moderate
401,Happy,24,Male,Naturwissenschaft,4,2,With family,None,Extrovert,In a relationship,11:00:00 AM,11:15:00 AM,3:00:00 PM,1:00:00 PM,2:00:00 AM,"Music, Traveling, Gaming ",Yes,No,No,6,Very Often,Very Often,Regularly,Sometimes,Sometimes,Not at all,Very Often,3,6 to 8,No,3,1,5,Moderate
402,Happy,23,Female,Wirtschaft,5,1,With family,Part time,Ambivert,In a relationship,10:00:00 AM,11:00:00 AM,2:30:00 AM,2:00:00 PM,2:00:00 AM,Cooking,Yes,No,No,5,Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,3,more than 8,No,2,8,14,Moderate
403,Lost,20,Male,Wirtschaft,1,1,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,4:00:00 PM,3:00:00 PM,1:00:00 PM,None,No,No,No,1,Very Often,Not at all,Not at all,Not at all,Not at all,Not at all,Often,1,3 to 5,No,1,0,19,Moderate
404,Tensed,27,Female,Wirtschaft,7,1,With family,Full time,Ambivert,Married,6:45:00 AM,7:30:00 AM,2:30:00 PM,4:00:00 PM,12:30:00 AM,"Music, Painting, Traveling",No,No,No,0,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Very Often,2,0 to 2,No,5,2,6,Moderate
405,Tensed,21,Female,Naturwissenschaft,2,2,With family,None,Introvert,Single,10:00:00 AM,12:00:00 AM,1:38:00 PM,5:00:00 PM,2:00:00 AM,"Cooking,",No,No,Yes,0,Not at all,Not at all,Sometimes,Not at all,Sometimes,Not at all,Not at all,1,3 to 5,No,0,0,19,Moderate
406,Happy,20,Female,Naturwissenschaft,3,1,With family,Part time,Ambivert,Single,10:00:00 AM,11:30:00 AM,2:30:00 PM,6:00:00 PM,1:00:00 AM,"Dancing, Traveling",No,No,No,1,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,4,3 to 5,No,3,2,6,Moderate
407,Tensed,25,Male,Wirtschaft,6,1,With family,None,Introvert,In a relationship,6:00:00 AM,9:30:00 AM,4:00:00 PM,7:00:00 PM,9:00:00 AM,None,No,No,No,0,Not at all,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,6,3 to 5,No,0,1,7,Moderate
408,Tensed,23,Male,Wirtschaft,6,1,With family,None,Ambivert,In a relationship,8:00:00 AM,9:00:00 AM,2:00:00 AM,8:00:00 PM,12:00:00 PM,"Collecting watches, model cars and sports ",No,No,No,4,Sometimes,Not at all,Sometimes,Not at all,Regularly,Not at all,Not at all,2,more than 8,No,3,3,19,Moderate
409,Tensed,20,Female,Naturwissenschaft,2,2,With family,None,Ambivert,Single,10:30:00 AM,11:30:00 AM,4:00:00 PM,9:00:00 PM,2:00:00 AM,"Music, Dancing, Traveling",No,No,No,1,Sometimes,Not at all,Sometimes,Sometimes,Regularly,Regularly,Sometimes,1,more than 8,No,3,2,5,Moderate
410,Tensed,21,Male,Naturwissenschaft,3,1,With family,None,Introvert,Single,9:00:00 AM,9:30:00 AM,2:00:00 AM,10:00:00 PM,3:00:00 AM,Painting,No,No,No,3,Not at all,Not at all,Regularly,Not at all,Sometimes,Not at all,Very Often,3,6 to 8,No,2,1,24,Severe
411,Sad,21,Male,Naturwissenschaft,3,1,With family,None,Introvert,Single,9:00:00 AM,9:15:00 AM,3:00:00 AM,11:00:00 PM,12:00:00 AM,Graphic Design,No,No,No,2,Sometimes,Not at all,Regularly,Not at all,Sometimes,Not at all,Very Often,3,3 to 5,No,0,0,5,Moderate
412,Tensed,21,Female,Naturwissenschaft,4,1,With family,None,Ambivert,Single,9:00:00 AM,9:30:00 AM,3:00:00 PM,12:00:00 AM,2:00:00 AM,"Music, Photography, Traveling",No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,7,3 to 5,No,0,1,21,Severe
413,Tensed,21,Male,Naturwissenschaft,1,3,With family,None,Introvert,Single,9:30:00 AM,10:30:00 AM,2:20:00 PM,1:00:00 AM,2:30:00 AM,"Photography, Painting, Traveling, Programming",No,No,No,0,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Sometimes,2,more than 8,No,3,1,13,Moderate
414,Lost,26,Male,Wirtschaft,7,1,With family,None,Ambivert,In a relationship,12:00:00 PM,12:30:00 PM,4:00:00 PM,2:00:00 AM,3:00:00 AM,None,No,No,No,0,Not at all,Not at all,Not at all,Not at all,Sometimes,Sometimes,Not at all,0,6 to 8,No,0,0,11,Moderate
415,Happy,21,Male,Naturwissenschaft,3,2,With family,None,Introvert,Single,8:00:00 AM,8:30:00 AM,1:30:00 PM,3:00:00 AM,12:00:00 AM,Gaming,No,No,No,10,Often,Often,Regularly,Sometimes,Sometimes,Sometimes,Very Often,3,3 to 5,No,0,1,0,None
416,Happy,25,Male,Naturwissenschaft,6,2,With family,Full time,Introvert,Single,11:00:00 AM,11:30:00 AM,2:00:00 PM,4:00:00 AM,4:00:00 AM,Programming,No,No,No,12,Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Sometimes,0,0 to 2,No,0,0,4,None
417,Sad,21,Female,Geisteswissenschaft,3,0,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,4:00:00 PM,5:00:00 AM,2:00:00 AM,"Music, Photography, Painting, Writing ",No,No,No,8,Sometimes,Sometimes,Regularly,Not at all,Regularly,Not at all,Not at all,2,3 to 5,Yes,1,3,7,Moderate
418,Lost,25,Female,Naturwissenschaft,5,3,With family,None,Introvert,Single,12:30:00 PM,1:00:00 PM,4:00:00 PM,6:00:00 AM,5:00:00 AM,Traveling,No,No,No,2,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0,more than 8,No,0,5,8,Moderate
419,Happy,22,Female,Naturwissenschaft,4,2,With family,Part time,Introvert,Single,11:00:00 AM,11:45:00 AM,2:30:00 AM,7:00:00 AM,12:30:00 AM,"Music, Photography",No,No,No,5,Sometimes,Not at all,Sometimes,Not at all,Regularly,Sometimes,Not at all,5,6 to 8,No,1,2,3,None
420,Happy,21,Male,Naturwissenschaft,4,3,With family,None,Extrovert,Single,8:30:00 AM,9:00:00 AM,2:30:00 PM,8:00:00 AM,12:30:00 AM,Traveling,No,No,No,5,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,3,3 to 5,No,2,1,4,None
421,Tensed,25,Male,Geisteswissenschaft,8,2,With family,Full time,Extrovert,Single,9:30:00 AM,11:30:00 AM,2:30:00 PM,9:00:00 AM,4:02:00 AM,Sleeping,Yes,No,No,1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,1,more than 8,No,1,1,18,Moderate
422,Lost,26,Male,Wirtschaft,10,1,With family,None,Introvert,In a relationship,9:30:00 AM,10:00:00 AM,2:00:00 PM,10:00:00 AM,1:00:00 AM,"Music, Photography, Traveling, Games",Yes,Yes,Yes,3,Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,Very Often,0,3 to 5,No,0,2,26,Severe
423,Happy,24,Female,Naturwissenschaft,5,0,With family,Part time,Extrovert,Married,9:00:00 AM,11:00:00 AM,3:00:00 PM,11:00:00 AM,2:00:00 PM,"Music, Dancing, Traveling",No,No,No,4,Sometimes,Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,3 to 5,No,0,1,1,None
424,Happy,23,Female,Wirtschaft,4,0,With family,Part time,Introvert,Single,7:00:00 AM,10:00:00 AM,2:00:00 AM,12:00:00 PM,2:00:00 AM,"Music, Painting",No,No,No,5,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,more than 8,No,7,4,7,Moderate
425,Tensed,23,Female,Wirtschaft,2,2,With family,None,Ambivert,Single,7:30:00 AM,8:00:00 AM,2:00:00 PM,1:00:00 PM,12:00:00 AM,None,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Not at all,3,6 to 8,No,2,3,15,Moderate
426,Happy,20,Female,Wirtschaft,1,1,With family,None,Ambivert,In a relationship,10:00:00 AM,11:00:00 AM,3:00:00 AM,2:00:00 PM,12:00:00 AM,"Music, Painting",No,No,No,4,Sometimes,Not at all,Regularly,Not at all,Sometimes,Sometimes,Very Often,3,3 to 5,Yes,0,5,10,Moderate
427,Happy,22,Male,Naturwissenschaft,4,2,With family,None,Extrovert,In a relationship,5:15:00 AM,6:00:00 AM,2:00:00 AM,3:00:00 PM,2:00:00 AM,Playing ,Yes,No,No,5,Very Often,Sometimes,Sometimes,Regularly,Sometimes,Not at all,Often,1,more than 8,No,3,0,19,Moderate
428,Tensed,20,Female,Naturwissenschaft,1,2,With family,None,Extrovert,Single,10:00:00 AM,10:20:00 AM,2:30:00 AM,4:00:00 PM,3:00:00 AM,reciting quran,No,No,No,2,Often,Very Often,Regularly,Not at all,Sometimes,Sometimes,Often,5,more than 8,Yes,2,2,11,Moderate
429,Happy,23,Male,Naturwissenschaft,5,1,With family,None,Ambivert,Single,10:00:00 AM,12:00:00 PM,2:30:00 AM,5:00:00 PM,4:00:00 AM,Cooking,No,No,No,0,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Sometimes,1,more than 8,Yes,4,1,9,Moderate
430,Happy,24,Male,Naturwissenschaft,5,3,Without family,None,Ambivert,Single,9:00:00 AM,9:30:00 AM,1:30:00 PM,6:00:00 PM,12:30:00 AM,Gaming,No,No,No,0,Sometimes,Very Often,Sometimes,Not at all,Not at all,Not at all,Very Often,5,3 to 5,No,1,1,10,Moderate
431,Tensed,23,Male,Naturwissenschaft,6,1,With family,Part time,Extrovert,In a relationship,10:00:00 AM,11:00:00 AM,2:00:00 AM,7:00:00 PM,2:00:00 AM,"Music, Photography",Yes,No,No,3,Sometimes,Very Often,Regularly,Sometimes,Sometimes,Not at all,Often,4,3 to 5,No,0,1,14,Moderate
432,Happy,22,Female,Wirtschaft,3,1,With family,None,Ambivert,Single,10:30:00 AM,11:00:00 AM,3:00:00 PM,8:00:00 PM,3:00:00 AM,None,No,No,No,4,Often,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,2,3 to 5,No,0,2,8,Moderate
433,Lost,20,Female,Naturwissenschaft,3,1,With family,None,Ambivert,Single,8:00:00 AM,8:00:00 AM,1:00:00 PM,9:00:00 PM,1:00:00 AM,"Photography, Traveling",No,No,No,4,Very Often,Not at all,Sometimes,Not at all,Regularly,Not at all,Not at all,2,more than 8,No,0,0,20,Severe
434,Sad,25,Male,Naturwissenschaft,6,3,With family,Full time,Extrovert,In a relationship,11:00:00 AM,11:30:00 AM,2:00:00 PM,10:00:00 PM,2:00:00 AM,"Music, Photography, Traveling, Programming",No,No,No,5,Very Often,Very Often,Regularly,Sometimes,Sometimes,Not at all,Often,3,6 to 8,Yes,5,2,12,Moderate
435,Tensed,20,Male,Wirtschaft,1,3,With family,None,Extrovert,In a relationship,9:00:00 AM,11:00:00 AM,2:00:00 PM,11:00:00 PM,1:00:00 AM,Music,No,No,No,3,Sometimes,Often,Regularly,Sometimes,Sometimes,Not at all,Not at all,3,more than 8,No,1,6,14,Moderate
436,Lost,22,Female,Wirtschaft,3,1,With family,None,Ambivert,Single,11:00:00 AM,12:30:00 PM,5:00:00 PM,12:00:00 AM,3:00:00 AM,Series ,Yes,No,No,1,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,1,more than 8,No,2,2,17,Moderate
437,Happy,21,Male,Wirtschaft,2,3,With family,None,Introvert,Single,9:30:00 AM,12:20:00 PM,5:25:00 PM,1:00:00 AM,4:30:00 AM,"Music, Photography, Traveling",No,No,No,4,Very Often,Not at all,Regularly,Sometimes,Sometimes,Not at all,Sometimes,2,more than 8,No,1,4,5,Moderate
438,Happy,24,Male,Wirtschaft,6,3,With family,Part time,Introvert,Single,8:00:00 AM,9:00:00 AM,2:00:00 AM,2:00:00 AM,11:00:00 AM,Traveling,No,No,No,10,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,1,3 to 5,No,2,1,0,None
439,Tensed,24,Male,Naturwissenschaft,6,3,With family,None,Introvert,In a relationship,8:00:00 AM,10:00:00 AM,3:00:00 AM,3:00:00 AM,1:00:00 AM,"Photography, Painting",Yes,No,No,0,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,3,3 to 5,No,2,1,19,Moderate
440,Lost,24,Male,Wirtschaft,6,1,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,3:00:00 PM,4:00:00 AM,2:00:00 AM,"Photography, Traveling",No,No,No,4,Often,Sometimes,Regularly,Regularly,Regularly,Sometimes,Sometimes,4,3 to 5,No,8,1,9,Moderate
441,Tensed,20,Male,Wirtschaft,2,2,With family,None,Ambivert,Single,11:00:00 AM,2:00:00 AM,2:00:00 AM,5:00:00 AM,4:30:00 AM,"Photography, Traveling",No,No,No,0,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,more than 8,No,0,0,24,Severe
442,Lost,21,Female,Naturwissenschaft,2,2,With family,None,Ambivert,Single,5:00:00 AM,9:30:00 AM,1:30:00 PM,6:00:00 AM,1:00:00 AM,Traveling,No,No,No,2,Very Often,Not at all,Regularly,Sometimes,Sometimes,Not at all,Not at all,4,3 to 5,No,1,1,11,Moderate
443,Angry,25,Male,Wirtschaft,5,3,Without family,Full time,Introvert,Single,12:00:00 PM,1:00:00 PM,7:00:00 PM,7:00:00 AM,6:00:00 AM,None,Yes,No,No,0,Not at all,Not at all,Regularly,Not at all,Sometimes,Not at all,Very Often,2,more than 8,No,0,5,21,Severe
444,Happy,23,Male,Wirtschaft,6,2,With family,None,Extrovert,Single,7:30:00 AM,8:00:00 AM,2:00:00 PM,8:00:00 AM,12:00:00 PM,Traveling,Yes,No,No,4,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Very Often,1,0 to 2,Yes,0,0,9,Moderate
445,Happy,21,Male,Naturwissenschaft,3,0,With family,Part time,Introvert,In a relationship,9:00:00 AM,10:00:00 AM,3:00:00 PM,9:00:00 AM,11:50:00 PM,"Music, Dancing, Programming",No,No,No,5,Sometimes,Sometimes,Regularly,Sometimes,Regularly,Not at all,Very Often,2,6 to 8,Yes,1,3,9,Moderate
446,Lost,25,Female,Wirtschaft,1,3,With family,None,Ambivert,Single,8:00:00 AM,9:00:00 AM,2:00:00 PM,10:00:00 AM,12:30:00 AM,"Music, Painting, Traveling",No,No,No,5,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Sometimes,5,3 to 5,Yes,3,1,23,Severe
447,Tensed,18,Female,Wirtschaft,3,0,With family,None,Ambivert,Single,9:00:00 AM,11:00:00 AM,3:00:00 PM,11:00:00 AM,5:00:00 AM,"Music, Dancing, Photography, Painting, Traveling, Acting, Staying close to animals, Sports, Poem recitation, Sleeping",No,No,No,4,Sometimes,Very Often,Regularly,Sometimes,Sometimes,Not at all,Not at all,5,3 to 5,No,1,4,14,Moderate
448,Lost,25,Male,Naturwissenschaft,5,1,Without family,None,Introvert,Single,11:00:00 AM,12:00:00 PM,3:00:00 AM,12:00:00 PM,3:00:00 AM,Dancing,Yes,No,Yes,7,Sometimes,Not at all,Sometimes,Not at all,Sometimes,Not at all,Often,2,3 to 5,No,2,3,20,Severe
449,Happy,24,Male,Naturwissenschaft,4,2,With family,Part time,Ambivert,Single,10:00:00 AM,10:30:00 AM,3:00:00 PM,1:00:00 PM,3:00:00 AM,"Photography, Traveling, Gardening ",No,No,No,6,Sometimes,Sometimes,Regularly,Sometimes,Regularly,Not at all,Very Often,3,6 to 8,No,0,0,0,None
450,Tensed,24,Male,Naturwissenschaft,4,1,With family,None,Extrovert,Single,8:00:00 AM,8:30:00 AM,2:00:00 PM,2:00:00 PM,12:00:00 AM,Traveling,Yes,No,No,3,Sometimes,Often,Regularly,Sometimes,Sometimes,Not at all,Sometimes,1,3 to 5,No,2,0,12,Moderate
451,Tensed,22,Female,Wirtschaft,3,1,With family,None,Introvert,In a relationship,11:00:00 AM,11:30:00 AM,3:30:00 AM,3:00:00 PM,2:00:00 AM,"Photography, Traveling",No,No,No,4,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,4,3 to 5,No,0,1,8,Moderate
452,Happy,25,Male,Naturwissenschaft,1,3,With family,None,Extrovert,Married,9:00:00 AM,9:10:00 AM,2:00:00 PM,4:00:00 PM,1:00:00 AM,"Photography, Traveling",No,No,No,15,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4,more than 8,No,3,2,5,Moderate
453,Sad,22,Male,Naturwissenschaft,4,1,With family,Part time,Ambivert,In a relationship,10:00:00 AM,10:30:00 AM,1:30:00 AM,5:00:00 PM,1:00:00 AM,"Music, Traveling",No,No,No,5,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Very Often,2,more than 8,Yes,1,1,12,Moderate
454,Tensed,27,Female,Wirtschaft,3,2,With family,Part time,Introvert,Single,5:00:00 AM,7:00:00 AM,3:00:00 PM,6:00:00 PM,1:00:00 AM,"Music, Dancing, Painting",No,No,No,5,Sometimes,Not at all,Regularly,Sometimes,Sometimes,Not at all,Sometimes,2,3 to 5,No,4,0,19,Moderate
455,Sad,23,Female,Naturwissenschaft,4,1,With family,Part time,Introvert,In a relationship,11:00:00 AM,12:00:00 AM,3:00:00 PM,7:00:00 PM,3:00:00 AM,Music,No,No,No,3,Sometimes,Very Often,Regularly,Not at all,Not at all,Not at all,Not at all,2,more than 8,No,4,1,10,Moderate
456,Tensed,22,Female,Naturwissenschaft,5,1,With family,None,Ambivert,In a relationship,9:00:00 AM,10:00:00 AM,2:30:00 PM,8:00:00 PM,2:00:00 AM,"Photography, Painting",No,No,No,0,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Not at all,Not at all,3,3 to 5,No,1,1,9,Moderate
457,Tensed,23,Male,Naturwissenschaft,6,4,Without family,None,Introvert,Single,4:35:00 AM,10:30:00 AM,3:00:00 PM,9:00:00 PM,1:00:00 AM,Programming,No,No,No,0,Not at all,Sometimes,Regularly,Not at all,Not at all,Not at all,Very Often,5,3 to 5,No,3,0,13,Moderate
458,Lost,20,Female,Wirtschaft,1,1,With family,None,Introvert,Single,7:30:00 AM,9:30:00 AM,2:00:00 PM,10:00:00 PM,1:30:00 AM,Painting,No,No,No,4,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,6,6 to 8,Yes,1,6,23,Severe
459,Happy,21,Female,Wirtschaft,2,2,With family,None,Ambivert,In a relationship,7:45:00 AM,10:30:00 AM,3:30:00 PM,11:00:00 PM,4:00:00 AM,"Photography, Cooking",Yes,Yes,No,6,Often,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,6,more than 8,Yes,0,1,13,Moderate
